#Metadata,,,,,,,,,,,,,,,,,,,,,
#Name and contact info,,,"Curtis Provencher, cprovenc@uvm.edu",,,,,,,,,,,,,,,,,,
#Study name: ,,,,,,,,,,,,,,,,,,,,,
#Financial support:,,,"National Science Foundation, Division of Environmental Biology (1136644) ",,,,,,,,,,,,,,,,,,
#Methods of data collection: ,,,,,,,,,,,,,,,,,,,,,
#Experimental units for each variable:,,,,,,,deg. C,deg. C,deg. C,deg. C,ng/uL,,,,,,,ng/uL,,uL,uL
#Data layout and structure:,,,,,,,,,,,,,,,,,,,,,
N,Collection Date,Site,Vial Name,Cham,Sample,Window,BaitTemp1,BaitTemp2,BaitTemp3,BaitTemp4,RNA conc. ,Isolation Date,CT_18s,CT_40,CT_70,CT_83,RIN_Value,CDNA,dilution factor,vol cDNA for dilution,vol of water for dilution
192,20130626,HF,HF 11-1,11,1,,26.2,28,27.4,26.8,84,20150806,7.01,29.069,24.99,23.35,3.2,2.5,10,5,45
193,20130626,HF,HF 11-2,11,2,,25.6,25.8,25.8,25.4,<2,20150807,,,,NA,,2.5,10,5,45
194,20130626,HF,HF 11-3,11,3,,26.2,25.6,25.6,26.8,2.87,20150805,9.65,31.946,26.296,29.134,1,1.435,5.74,8.710801394,41.28919861
195,20130626,HF,HF 12-1,12,1,,26.4,26.2,26.2,27.4,83,20150806,7.883,29.558,25.039,28.633,2.8,2.5,10,5,45
196,20130626,HF,HF 12-2,12,2,,27,28.2,28.2,28.6,<2,20150810,,,,NA,,2.5,10,5,45
197,20130626,HF,HF 12-3,12,3,,25.8,25.8,23.8,25.8,3.35,20150805,,,,NA,1,1.675,6.7,7.462686567,42.53731343
198,20130821,HF,HF2 1-1,1,1,,31.4,31.8,30.8,31.2,56,20150825,6.274,24.636,20.014,26.174,5.9,2.5,10,5,45
199,20130821,HF,HF2 1-2,1,2,,29.6,29.2,29.8,29.2,52,20150915,24.048,31.449,23.83,30.125,6.9,2.5,10,5,45
200,20130821,HF,HF2 1-3,1,3,,27.6,27.6,26.8,27.6,46.9,20150828,,,,,6.3,2.5,10,5,45
201,20130821,HF,HF2 2-1,2,1,,28.2,29,29,29.2,68,20150828,17.739,31.352,27.265,32.189,6.7,2.5,10,5,45
202,20130821,HF,HF2 2-2,2,2,,28.8,29,28.6,28.8,53,20150825,6.753,27.671,23.181,22.685,6.1,2.5,10,5,45
203,20130821,HF,HF2 2-3,2,3,,29.2,28.8,28.4,29.4,64,20150825,9.255,27.439,22.002,21.677,6.6,2.5,10,5,45
204,20130821,HF,HF2 3-1,3,1,,27.6,27.2,26.6,27.4,51,20150828,6.922,25.32,19.571,27.443,6,2.5,10,5,45
205,20130821,HF,HF2 3-2,3,2,,28.6,28.2,28.6,28,22.9,20150915,,,,,6.3,2.5,10,5,45
206,20130821,HF,HF2 3-3,3,3,,27.8,27.8,27.2,27,65,20150828,4.972,26.537,21.063,23.197,2.7,2.5,10,5,45
207,20130821,HF,HF2 4-1,4,1,,28.8,27.8,28.4,28.2,13.7,20150827,8.526,27.727,22.962,23.288,6.7,2.5,10,5,45
208,20130821,HF,HF2 4-2,4,2,,27.6,27,26.6,26.6,10,20150915,,,,,1,2.5,10,5,45
209,20130821,HF,HF2 4-3,4,3,,26.6,26.2,26.4,26.4,40.3,20150915,,,,,5.8,2.5,10,5,45
210,20130821,HF,HF2 5-1,5,1,,31.2,31.4,30.8,30.4,61,20150827,6.006,25.718,20.419,21.346,5.9,2.5,10,5,45
211,20130821,HF,HF2 5-2,5,2,,31.2,28.2,28.2,29.2,58,20150915,,,,,7.1,2.5,10,5,45
212,20130821,HF,HF2 5-3,5,3,,29.2,29.6,29,29,32.6,20150828,13.066,28.03,23.183,24.227,6.2,2.5,10,5,45
213,20130821,HF,HF2 6-1,6,1,,29.8,30.4,30.8,29.6,15.3,20150825,5.792,25.546,20.615,21.164,6.3,2.5,10,5,45
214,20130821,HF,HF2 6-2,6,2,,28.4,29.4,28.8,29.6,20.8,20150825,13.121,29.042,22.87,25.974,6.7,2.5,10,5,45
215,20130821,HF,HF2 6-3,6,3,,25.8,25.6,25.6,25.4,14.8,20150827,7.803,27.84,22.498,22.951,6.1,2.5,10,5,45
216,20130821,HF,HF2 7-1,7,1,,29,29.2,29.4,29,31.6,20150915,,,,,7.4,2.5,10,5,45
217,20130821,HF,HF2 7-2,7,2,,29.6,29.2,29.3,29.2,7.34,20150915,,,,,6.9,2.5,10,5,45
218,20130821,HF,HF2 7-3,7,3,,29,29.2,29.6,29.8,47.5,20150828,10.709,27.501,21.692,28.305,5.4,2.5,10,5,45
219,20130821,HF,HF2 8-1,8,1,,29.8,29.4,30.2,30.2,44.3,20150828,9.799,27.491,22.743,25.397,7.2,2.5,10,5,45
220,20130821,HF,HF2 8-2,8,2,,29,28.6,28.6,28.6,45.8,20150827,9.476840019,27.20611,22.69932461,28.558,4.6,2.5,10,5,45
221,20130821,HF,HF2 8-3,8,3,,27.2,27.6,27.8,27.6,59,20150827,6.211193085,25.93652821,20.98429394,20.342,7.3,2.5,10,5,45
222,20130821,HF,HF2 9-1,9,1,,28.8,28.4,28,28.4,31.3,20150827,9.62282753,27.5186491,21.89963818,22.251,6.5,2.5,10,5,45
223,20130821,HF,,9,2,,27.6,28.2,27.6,27.6,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
224,20130821,HF,HF2 9-3,9,3,,27.6,27.2,27.4,27,58,20150828,7.527546406,26.08867168,20.43049431,27.059,2.4,2.5,10,5,45
225,20130821,HF,HF2 10-1,10,1,,33.2,33.2,32.4,31.8,39.6,20150827,11.56800461,28.39256382,22.91804123,23.241,6.6,2.5,10,5,45
226,20130821,HF,HF2 10-2,10,2,,29.4,29.6,29.8,29.8,44.3,20150827,8.498671055,26.30670643,20.84112644,21.06,6.7,2.5,10,5,45
227,20130821,HF,,10,3,,28.8,29.4,29.2,29,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
228,20130821,HF,HF2 11-1,11,1,,27.8,27.2,27.6,28,55,20150825,9.068080425,28.11422539,23.25425148,24.375,6.4,2.5,10,5,45
229,20130821,HF,HF2 11-2,11,2,,27.4,26.8,27.8,28.4,<2,20150824,,,,,,2.5,10,5,45
230,20130821,HF,HF2 11-3,11,3,,26.4,27,27.2,27,44.6,20150915,,,,,6.7,2.5,10,5,45
231,20130821,HF,HF2 12-1,12,1,,29.4,28.4,28.6,28.6,59,20150825,5.487036228,26.67927933,21.81286812,22.775,6.2,2.5,10,5,45
232,20130821,HF,,12,2,,29.8,29.8,29.2,29.4,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
233,20130821,HF,HF2 12-3,12,3,,28.8,28.2,28.2,28.4,31.4,20150825,8.642649174,27.91520977,22.37749767,22.076,6.5,2.5,10,5,45
234,20140812,HF,,1,1,,31.8,36.2,33.8,30,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
235,20140812,HF,,1,2,,28.6,28.4,28.2,28.8,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
236,20140812,HF,,1,3,,29.2,29.2,28.4,29.2,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
237,20140812,HF,,2,1,,27.2,27.4,27.8,27.8,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
238,20140812,HF,,2,2,,27.2,28.2,28.2,27.4,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
239,20140812,HF,,2,3,,28,28,29.4,28.4,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
240,20140812,HF,,3,1,,26.4,26.6,26.4,26.4,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
241,20140812,HF,,3,2,,27,25.8,26.4,25.6,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
242,20140812,HF,,4,1,,25.8,25.4,25.6,25.2,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
243,20140812,HF,,4,2,,26.2,25.8,25.8,26.2,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
244,20140812,HF,,5,1,,27.2,28.4,28.4,28,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
245,20140812,HF,,5,2,,26.4,28.2,28.6,27.4,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
246,20140812,HF,,5,3,,29.2,30.6,29,29.2,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
247,20140812,HF,,6,1,,25.6,25.4,25.2,25.8,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
248,20140812,HF,,6,2,,25.6,30.2,26.4,25.4,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
249,20140812,HF,,6,3,,26.4,25.8,26.2,26.2,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
250,20140812,HF,,7,1,,28.2,28.6,27.8,28,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
251,20140812,HF,,7,2,,28.8,28.4,28.8,29,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
252,20140812,HF,,8,1,,25.4,25.8,26.2,25.4,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
253,20140812,HF,,8,2,,27,26.6,27.6,27.6,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
254,20140812,HF,,9,1,,28.4,28.4,28.4,28.6,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
255,20140812,HF,,9,2,,32.8,27.8,29.2,29.8,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
256,20140812,HF,,10,1,,28.6,29.2,28.6,29.4,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
257,20140812,HF,,10,2,,27.2,28.2,28,28.6,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
258,20140812,HF,,10,3,,29.4,28.8,28.4,28.8,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
259,20140812,HF,,11,1,,24.4,24.6,24.8,24.8,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
260,20140812,HF,,12,1,,30.4,28.2,28.6,30,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
261,20140812,HF,,12,2,,27.6,28,28,28.6,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
262,20140812,HF,,12,3,,25.6,25.2,25.6,25.6,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!
